Year,Month,Day,Period,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018,10,27,17,2018-10-27 17:00:00,10811.123046875,1481.5721435546875,2861.567138671875,922.4385375976562,11425.265625,6052.1123046875,2944.083984375,1038.89794921875
2018,10,27,18,2018-10-27 18:00:00,11270.46484375,1523.4510498046875,2841.8896484375,960.4795532226562,11936.310546875,6400.048828125,2994.553466796875,1086.4635009765623
2018,10,27,19,2018-10-27 19:00:00,11101.8212890625,1599.44091796875,2869.046630859375,959.109130859375,12043.1142578125,6813.29931640625,3128.46142578125,1089.617919921875
2018,10,27,20,2018-10-27 20:00:00,11257.1015625,1638.0628662109375,2864.88525390625,961.1558227539062,12127.853515625,6993.0927734375,3124.3544921875,1091.006591796875
2018,10,27,21,2018-10-27 21:00:00,11137.4287109375,1628.3087158203125,2854.477783203125,934.2092895507812,12329.73046875,7170.544921875,3236.195068359375,1089.5758056640623
2018,10,27,22,2018-10-27 22:00:00,11045.1435546875,1554.87255859375,2882.75390625,900.7615356445312,12079.388671875,7214.0390625,2988.12255859375,1110.2142333984377
2018,10,27,23,2018-10-27 23:00:00,10258.4443359375,1562.0899658203125,2860.125244140625,864.92236328125,12085.703125,6902.8974609375,3032.011962890625,1139.1798095703125
2018,10,28,0,2018-10-28 00:00:00,10051.734375,1541.2894287109375,2858.936279296875,893.452880859375,12281.16015625,6611.2998046875,3102.830322265625,1102.084228515625
2018,10,28,1,2018-10-28 01:00:00,10133.201171875,1425.8681640625,2809.503173828125,871.96875,11716.1474609375,6188.27685546875,3115.55615234375,1109.34326171875
2018,10,28,2,2018-10-28 02:00:00,9306.5751953125,1323.24951171875,2737.055419921875,816.2941284179688,10848.9326171875,5655.6748046875,2662.68798828125,1012.2086791992188
2018,10,28,3,2018-10-28 03:00:00,8774.3212890625,1244.8797607421875,2652.620361328125,702.3840942382812,9735.67578125,5181.6552734375,2491.51904296875,944.9937744140624
2018,10,28,4,2018-10-28 04:00:00,8323.302734375,1122.001708984375,2592.621337890625,635.26806640625,8937.7197265625,4645.384765625,2411.90869140625,848.0465698242188
2018,10,28,5,2018-10-28 05:00:00,7978.24609375,1110.26220703125,2551.89697265625,670.4429931640625,8327.68359375,4416.44677734375,2316.936767578125,848.1375122070312
2018,10,28,6,2018-10-28 06:00:00,8511.2275390625,1077.079345703125,2635.380859375,654.2271728515625,7765.03955078125,4102.08642578125,2276.70361328125,870.6580810546875
2018,10,28,7,2018-10-28 07:00:00,8359.51171875,1073.8057861328123,2634.146240234375,692.9700317382812,7771.39111328125,4011.591552734375,2182.96728515625,843.0975341796875
2018,10,28,8,2018-10-28 08:00:00,8457.4580078125,1096.3389892578123,2604.54150390625,692.7508544921875,7868.83349609375,4229.4521484375,2143.931640625,878.8505859375
2018,10,28,9,2018-10-28 09:00:00,8758.275390625,1100.0670166015623,2664.32080078125,697.0259399414062,8137.5419921875,4369.19873046875,2150.4228515625,882.3222045898438
2018,10,28,10,2018-10-28 10:00:00,8856.923828125,1238.3536376953125,2727.4306640625,724.6565551757812,8814.7060546875,4599.64404296875,2344.695068359375,1019.041259765625
2018,10,28,11,2018-10-28 11:00:00,9082.3681640625,1276.612548828125,2781.7666015625,751.8627319335938,9090.6611328125,4712.01611328125,2369.224609375,1070.97265625
2018,10,28,12,2018-10-28 12:00:00,9167.9365234375,1274.9622802734375,2788.94482421875,801.4044189453125,9545.955078125,5009.88134765625,2444.699951171875,1037.0712890625
2018,10,28,13,2018-10-28 13:00:00,9538.30078125,1306.86669921875,2811.18505859375,863.597900390625,9988.0576171875,5163.4765625,2611.380859375,1039.1522216796877
2018,10,28,14,2018-10-28 14:00:00,9998.3916015625,1334.33740234375,2803.398193359375,895.658203125,10364.408203125,5419.376953125,2742.734619140625,1047.250244140625
